type,source,status,age_rating,is_adult,year,episodes,duration_min,is_long_running,is_movie,mal_score,mal_scored_by,anilist_score,score_gap_mal_anilist,genres,num_platforms,Action,Adventure,Avant Garde,Boys Love,Comedy,Drama,Fantasy,Girls Love,Gourmet,Horror,Josei,Kids,Mystery,Romance,Sci-Fi,Seinen,Shoujo,Shounen,Slice of Life,Sports,Supernatural,Suspense
TV,manga,finished_airing,pg_13,False,1997.0,52.0,23.0,False,False,7.59,8893.0,7.0,-0.59,Comedy | Gourmet | Shounen,1.0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
TV,original,finished_airing,g,False,1999.0,52.0,25.0,False,False,6.95,7446.0,6.7,-0.25,Adventure | Comedy | Sci-Fi,0.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TV,original,finished_airing,pg_13,False,2004.0,8.0,18.0,False,False,4.9,3587.0,3.8,-1.1,Action | Adventure | Comedy | Ecchi | Fantasy | Sci-Fi | Super Power,0.0,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TV,original,finished_airing,pg_13,False,2003.0,26.0,24.0,False,False,7.36,10202.0,7.0,-0.36,Mecha | Romance | Sci-Fi | Space,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
TV,manga,finished_airing,pg_13,False,2003.0,26.0,12.0,False,False,7.89,58738.0,7.5,-0.39,Comedy | Delinquents | Gag Humor | Parody | School | Shounen,2.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
TV,original,finished_airing,pg_13,False,1998.0,13.0,25.0,False,False,6.8,5516.0,6.4,-0.4,Adventure | Comedy | Fantasy | Isekai,0.0,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TV,original,finished_airing,pg_13,False,1995.0,26.0,23.0,False,False,6.96,7796.0,6.7,-0.26,Adventure | Comedy | Fantasy | Isekai | Romance,2.0,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
TV,visual_novel,finished_airing,pg_13,False,2004.0,13.0,14.0,False,False,6.51,18268.0,6.0,-0.51,Comedy | Drama | Romance,0.0,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
TV,manga,finished_airing,pg_13,False,2001.0,26.0,24.0,False,False,7.69,296042.0,7.5,-0.19,Drama | Love Polygon | Romance | School | Shoujo | Supernatural,2.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
TV,manga,finished_airing,r,False,2003.0,51.0,24.0,False,False,8.12,938041.0,7.9,-0.22,Action | Adventure | Award Winning | Drama | Fantasy | Military | Shounen,4.0,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
TV,manga,finished_airing,pg_13,False,2002.0,52.0,24.0,False,False,7.95,50135.0,7.6,-0.35,Comedy | Drama | Music | Romance | Shoujo | Showbiz | Supernatural,0.0,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
TV,manga,finished_airing,pg_13,False,1995.0,52.0,24.0,False,False,7.6,54783.0,7.1,-0.5,Action | Adventure | Fantasy | Isekai | Martial Arts | Reverse Harem | Romance | Shoujo,1.0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
TV,original,finished_airing,pg_13,False,2004.0,13.0,24.0,False,False,6.45,16757.0,6.0,-0.45,Comedy | Romance | School,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
TV,original,finished_airing,pg_13,False,2005.0,13.0,24.0,False,False,6.88,12451.0,6.5,-0.38,Comedy | Drama | Romance,0.0,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
